Region,Acc-ID,y,Realized_1yr_lag,Realized_2yr_lag,ds
NW,41,17288.0,,,2011-01-01
NW,42,22944.2,0.0474385696227671,,2011-01-01
NW,43,75.2,19485.1,,2011-01-01
NW,46,78341.9,,,2011-01-01
NW,47,22038.5,0.2514955513274643,,2011-01-01
NW,49,28204.3,,,2011-01-01
NW,34,4081.8,-130033.0,,2011-01-01
NW,38,-1263.4,0.1914811911128077,,2011-01-01
NW,48,3288.0,,,2011-01-01
NW,57,1074.5,,,2011-01-01
NW,67,1074.5,,,2011-01-01
NW,45,565.3,0.0035351460412172,,2011-01-01
ZH,31,2693614.8,5118556.908,,2011-01-01
ZH,30,7369400.9,,,2011-01-01
TI,64,18665.96171333333,,,2011-01-01
TI,61,1441.188,,,2011-01-01
TI,65,18665.96171333333,,,2011-01-01
TI,66,18665.96171333333,,,2011-01-01
TI,67,18665.96171333333,,,2011-01-01
TI,60,1441.188,,,2011-01-01
TI,58,45734.69442,,,2011-01-01
TI,57,45734.69442,,,2011-01-01
TI,63,18665.96171333333,,,2011-01-01
TI,62,18665.96171333333,,,2011-01-01
NW,56,9709.8,,,2012-01-01
NW,42,20958.1,22944.2,0.0474385696227671,2012-01-01
NW,46,83435.3,78341.9,,2012-01-01
NW,47,22093.4,22038.5,0.2514955513274643,2012-01-01
NW,49,28857.8,28204.3,,2012-01-01
NW,50,20542.0,,,2012-01-01
NW,51,33.7,,,2012-01-01
NW,52,1454.6,,,2012-01-01
NW,67,762.0,1074.5,,2012-01-01
NW,64,1416.1,,,2012-01-01
NW,63,9577.0,,,2012-01-01
NW,54,1610.9,,,2012-01-01
NW,61,33.7,,,2012-01-01
NW,57,762.0,1074.5,,2012-01-01
AR,35,53345.5,320.0,65890.25,2012-01-01
GL,57,3940.3,0.0,3607.3,2012-01-01
GL,56,8914.0,0.0,,2012-01-01
GL,54,10.0,0.0,,2012-01-01
GL,52,1248.6,,,2012-01-01
GL,50,11228.8,0.0,,2012-01-01
GL,49,11007.8,0.0,10680.1,2012-01-01
GL,47,25377.8,0.081694836556752,0.0,2012-01-01
GL,46,122530.0,0.0,118667.8,2012-01-01
GL,42,33444.5,0.0,0.0169945144205421,2012-01-01
GL,41,12378.2,0.0,16143.6,2012-01-01
GL,39,11007.8,0.0,10680.1,2012-01-01
GL,37,25377.8,0.0,28430.6,2012-01-01
GL,36,160428.8,0.0,189993.0,2012-01-01
GL,31,29960.2,0.0,31330.8,2012-01-01
GL,30,64902.7,0.0,71379.2,2012-01-01
NW,41,11968.8,17288.0,,2012-01-01
NW,39,28857.8,28204.3,18171.49999999999,2012-01-01
NW,36,191174.5,192488.0,0.0728792675889389,2012-01-01
OW,36,133887.0,42788.0,,2012-01-01
OW,31,26066.0,20056.0,,2012-01-01
OW,30,52737.0,52227.0,,2012-01-01
OW,37,38376.0,42788.0,,2012-01-01
OW,39,22559.0,29324.0,,2012-01-01
OW,41,7416.0,16409.0,,2012-01-01
OW,42,17121.0,19003.0,,2012-01-01
NW,31,26851.8,25939.1,240593.0,2012-01-01
